-10.0	-10.0	-0.06737946999085467
-10.0	-9.0	-0.16572675401761255
-10.0	-8.0	-0.33373269960326085
-10.0	-7.0	-0.5502322005640732
-10.0	-6.0	-0.7427357821433482
-10.0	-5.0	-0.8208499862390648
-10.0	-4.0	-0.7427357821438524
-10.0	-3.0	-0.5502322005668835
-10.0	-2.0	-0.33373269961585966
-10.0	-1.0	-0.1657267540638415
-10.0	0.0	-0.06737947012973411
-10.0	1.0	-0.022428677536446333
-10.0	2.0	-0.006112528299170085
-10.0	3.0	-0.0013638903989332074
-10.0	4.0	-0.0002491616282075799
-10.0	5.0	-3.726822361870933e-05
-10.0	6.0	-4.5650572604518735e-06
-10.0	7.0	-4.586679900379561e-07
-10.0	8.0	-3.8244542022096485e-08
-10.0	9.0	-2.865603406223592e-09
-10.0	10.0	-2.7775887729928043e-10
-9.0	-10.0	-0.16572675401761255
-9.0	-9.0	-0.40762203978366224
-9.0	-8.0	-0.8208499862389894
-9.0	-7.0	-1.3533528323661441
-9.0	-6.0	-1.8268352405275177
-9.0	-5.0	-2.0189651799479496
-9.0	-4.0	-1.8268352405366801
-9.0	-3.0	-1.353352832417218
-9.0	-2.0	-0.8208499864679615
-9.0	-1.0	-0.4076220406238338
-9.0	0.0	-0.16572675654162766
-9.0	1.0	-0.05516565041568312
-9.0	2.0	-0.015034404431304388
-9.0	3.0	-0.0033546468905613427
-9.0	4.0	-0.0006128627731959315
-9.0	5.0	-9.169162616127203e-05
-9.0	6.0	-1.12522863160536e-05
-9.0	7.0	-1.1459632834169768e-06
-9.0	8.0	-1.0487602528357337e-07
-9.0	9.0	-1.2416150818807248e-08
-9.0	10.0	-2.865603406223592e-09
-8.0	-10.0	-0.33373269960326085
-8.0	-9.0	-0.8208499862389894
-8.0	-8.0	-1.6529888822158862
-8.0	-7.0	-2.7253179303403807
-8.0	-6.0	-3.678794411716967
-8.0	-5.0	-4.065696597426763
-8.0	-4.0	-3.678794411853303
-8.0	-3.0	-2.7253179311003444
-8.0	-2.0	-1.6529888856229293
-8.0	-1.0	-0.8208499987405167
-8.0	0.0	-0.33373273715992846
-8.0	1.0	-0.11109005775691969
-8.0	2.0	-0.030275733473150823
-8.0	3.0	-0.0067556944460679
-8.0	4.0	-0.001234512034638674
-8.0	5.0	-0.00018503987383475018
-8.0	6.0	-2.301728784168906e-05
-8.0	7.0	-2.5728742572220654e-06
-8.0	8.0	-3.7203878533831023e-07
-8.0	9.0	-1.0487602528357337e-07
-8.0	10.0	-3.8244542022096485e-08
-7.0	-10.0	-0.5502322005640732
-7.0	-9.0	-1.3533528323661441
-7.0	-8.0	-2.7253179303403807
-7.0	-7.0	-4.4932896411753225
